CED_CODE_2024,CED_NAME_2024,CED_CODE_2025,CED_NAME_2025,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Banks,101,Banks,1,Good,Good,0
102,Barton,102,Barton,1,Good,Good,0
103,Bennelong,103,Bennelong,1,Good,Good,0
104,Berowra,104,Berowra,1,Good,Good,0
105,Blaxland,105,Blaxland,1,Good,Good,0
106,Bradfield,106,Bradfield,1,Good,Good,0
107,Calare,107,Calare,1,Good,Good,0
108,Chifley,108,Chifley,1,Good,Good,0
109,Cook,109,Cook,1,Good,Good,0
110,Cowper,110,Cowper,1,Good,Good,0
111,Cunningham,111,Cunningham,1,Good,Good,0
112,Dobell,112,Dobell,1,Good,Good,0
113,Eden-Monaro,113,Eden-Monaro,1,Good,Good,0
114,Farrer,114,Farrer,1,Good,Good,0
115,Fowler,115,Fowler,1,Good,Good,0
116,Gilmore,116,Gilmore,1,Good,Good,0
117,Grayndler,117,Grayndler,1,Good,Good,0
118,Greenway,118,Greenway,1,Good,Good,0
119,Hughes,119,Hughes,1,Good,Good,0
120,Hume,120,Hume,1,Good,Good,0
121,Hunter,121,Hunter,1,Good,Good,0
122,Kingsford Smith,122,Kingsford Smith,1,Good,Good,0
123,Lindsay,123,Lindsay,1,Good,Good,0
124,Lyne,124,Lyne,1,Good,Good,0
125,Macarthur,125,Macarthur,1,Good,Good,0
126,Mackellar,126,Mackellar,1,Good,Good,0
127,Macquarie,127,Macquarie,1,Good,Good,0
128,McMahon,128,McMahon,1,Good,Good,0
129,Mitchell,129,Mitchell,1,Good,Good,0
130,New England,130,New England,1,Good,Good,0
131,Newcastle,131,Newcastle,1,Good,Good,0
132,Page,132,Page,1,Good,Good,0
133,Parkes,133,Parkes,1,Good,Good,0
134,Parramatta,134,Parramatta,1,Good,Good,0
135,Paterson,135,Paterson,1,Good,Good,0
136,Reid,136,Reid,1,Good,Good,0
137,Richmond,137,Richmond,1,Good,Good,0
138,Riverina,138,Riverina,1,Good,Good,0
