LGA_CODE_2021,LGA_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,10901,Albury,1,Good,Poor,0
10180,Armidale Regional,10802,Kempsey - Nambucca,0.002129,Good,Poor,1
10180,Armidale Regional,11001,Armidale,0.9923109,Good,Poor,0
10180,Armidale Regional,11002,Inverell - Tenterfield,0.0055601,Good,Poor,1
10250,Ballina,11201,Richmond Valley - Coastal,0.9979023,Good,Poor,0
10250,Ballina,11202,Richmond Valley - Hinterland,0.0020977,Good,Poor,1
10300,Balranald,10902,Lower Murray,1,Good,Poor,0
10470,Bathurst Regional,10301,Bathurst,0.99977,Good,Poor,0
10470,Bathurst Regional,10303,Lithgow - Mudgee,0.00023,Good,Poor,1
10500,Bayside (NSW),11701,Botany,0.3357039,Poor,Poor,0
10500,Bayside (NSW),11904,Kogarah - Rockdale,0.6642961,Poor,Poor,0
10550,Bega Valley,10103,Snowy Mountains,2.8e-06,Good,Poor,1
10550,Bega Valley,10104,South Coast,0.9999972,Good,Poor,0
10600,Bellingen,10402,Coffs Harbour,0.9999977,Good,Poor,0
10600,Bellingen,10802,Kempsey - Nambucca,2.3e-06,Good,Poor,1
10650,Berrigan,10903,Upper Murray exc. Albury,1,Good,Poor,0
10750,Blacktown,11601,Blacktown,0.3487865,Poor,Poor,0
10750,Blacktown,11602,Blacktown - North,0.3597858,Poor,Poor,0
10750,Blacktown,11603,Mount Druitt,0.2914277,Poor,Poor,0
10800,Bland,10302,Lachlan Valley,0.9949591,Good,Poor,0
10800,Bland,11301,Griffith - Murrumbidgee (West),0.0050409,Good,Poor,1
10850,Blayney,10304,Orange,1,Good,Poor,0
10900,Blue Mountains,10303,Lithgow - Mudgee,1e-07,Good,Poor,1
10900,Blue Mountains,11503,Hawkesbury,0.0022302,Poor,Poor,1
10900,Blue Mountains,12401,Blue Mountains,0.9977694,Good,Poor,0
10900,Blue Mountains,12402,Blue Mountains - South,3e-07,Poor,Poor,1
10950,Bogan,10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11150,Bourke,10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11200,Brewarrina,10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11250,Broken Hill,10502,Broken Hill and Far West,1,Good,Poor,0
11300,Burwood,12003,Strathfield - Burwood - Ashfield,1,Poor,Poor,0
11350,Byron,11201,Richmond Valley - Coastal,0.9950806,Good,Poor,0
11350,Byron,11202,Richmond Valley - Hinterland,0.0049194,Good,Poor,1
11400,Cabonne,10302,Lachlan Valley,0.2270949,Good,Poor,0
11400,Cabonne,10304,Orange,0.7412481,Good,Poor,0
11400,Cabonne,10503,Dubbo,0.031657,Good,Poor,0
11450,Camden,12301,Camden,0.5980212,Poor,Poor,0
11450,Camden,12302,Campbelltown (NSW),0.00057,Good,Poor,1
11450,Camden,12701,Bringelly - Green Valley,0.4014088,Poor,Poor,0
11500,Campbelltown (NSW),10704,Wollongong,1e-07,Poor,Poor,1
11500,Campbelltown (NSW),12301,Camden,1e-07,Poor,Poor,1
11500,Campbelltown (NSW),12302,Campbelltown (NSW),0.9999999,Good,Poor,0
11520,Canada Bay,12001,Canada Bay,0.9723818,Good,Poor,0
11520,Canada Bay,12003,Strathfield - Burwood - Ashfield,0.0276182,Poor,Poor,0
11570,Canterbury-Bankstown,11901,Bankstown,0.4976408,Poor,Poor,0
11570,Canterbury-Bankstown,11902,Canterbury,0.3761353,Poor,Poor,0
11570,Canterbury-Bankstown,11903,Hurstville,0.0244207,Acceptable,Poor,0
11570,Canterbury-Bankstown,12003,Strathfield - Burwood - Ashfield,0.0435385,Poor,Poor,0
11570,Canterbury-Bankstown,12501,Auburn,0.0020752,Poor,Poor,1
11570,Canterbury-Bankstown,12503,Merrylands - Guildford,0.0561895,Poor,Poor,0
11600,Carrathool,10902,Lower Murray,0.0048355,Good,Poor,1
11600,Carrathool,11301,Griffith - Murrumbidgee (West),0.9951645,Good,Poor,0
11650,Central Coast (NSW),10201,Gosford,0.5144362,Poor,Poor,0
11650,Central Coast (NSW),10202,Wyong,0.4855638,Poor,Poor,0
11700,Central Darling,10502,Broken Hill and Far West,1,Good,Poor,0
