LOCALITY_PID,LOCALITY_NAME,LGA_CODE_2024,LGA_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
loc00055278d626,Newstead,25430,Mount Alexander,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00067aeff8fc,West Beach,53290,Esperance,1.00000000000000000000000000000000000000000000,Good,Good,0
loc000b0ce181b2,Dukin,54690,Koorda,1.00000000000000000000000000000000000000000000,Good,Good,0
loc001418bbc0d5,Mount Elphinstone,50080,Albany,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0015d417b77d,Lochington,32270,Central Highlands (Qld),1.00000000000000000000000000000000000000000000,Good,Good,0
loc0017f1710709,Butler,47910,Tumby Bay,1.00000000000000000000000000000000000000000000,Good,Good,0
loc001969119bde,Manorina,22110,East Gippsland,1.00000000000000000000000000000000000000000000,Good,Good,0
loc001ecf69cf9a,Westminster,57910,Stirling,1.00000000000000000000000000000000000000000000,Good,Good,0
loc002ffd10586c,Mathinna,60210,Break O'Day,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00304bb5096e,Erigolia,11600,Carrathool,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0032e73d0c78,Guyra,10180,Armidale,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0035746c37e9,Coragulac,21750,Colac Otway,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00358aa111dc,Middle Dural,14000,Hornsby,0.29000000000000000000000000000000000000000000,Acceptable,Good,0
loc00358aa111dc,Middle Dural,17420,The Hills,0.71000000000000000000000000000000000000000000,Good,Good,0
loc0042a1d97193,Wellington Vale,13010,Glen Innes Severn,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0048f02fb102,Callaghans Creek,15240,Mid-Coast,1.00000000000000000000000000000000000000000000,Good,Good,0
loc004bbac6e5e5,Wialki,55880,Mount Marshall,0.52000000000000000000000000000000000000000000,Good,Good,0
loc004bbac6e5e5,Wialki,55950,Mukinbudin,0.48000000000000000000000000000000000000000000,Good,Good,0
loc004e26acc9fa,Tottenham,14600,Lachlan,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0051ff524c27,Narraport,21270,Buloke,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00522824bef9,Coila,12750,Eurobodalla,1.00000000000000000000000000000000000000000000,Good,Good,0
loc005ad261d476,Victory Heights,54280,Kalgoorlie-Boulder,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0067a4549ed1,Korumburra,26170,South Gippsland,1.00000000000000000000000000000000000000000000,Good,Good,0
loc006d05c87d16,Lyneham,89399,Unincorporated ACT,1.00000000000000000000000000000000000000000000,Good,Good,0
loc007070aaeb0f,Ideraway,35760,North Burnett,1.00000000000000000000000000000000000000000000,Good,Good,0
loc0072f7062952,Darwin City,71000,Darwin,0.96000000000000000000000000000000000000000000,Good,Good,0
loc0072f7062952,Darwin City,71150,Darwin Waterfront Precinct,0.04000000000000000000000000000000000000000000,Poor,Good,0
loc0082fa96a6be,Dunmore,36910,Toowoomba,1.00000000000000000000000000000000000000000000,Good,Good,0
loc008656dc7afc,Timbarra,17400,Tenterfield,1.00000000000000000000000000000000000000000000,Good,Good,0
loc009bcef3e14d,Gillieston,22830,Greater Shepparton,1.00000000000000000000000000000000000000000000,Good,Good,0
loc009c0cdbdbc1,Freshwater,32080,Cairns,1.00000000000000000000000000000000000000000000,Good,Good,0
loc009d0d76ec9c,Fumina South,20830,Baw Baw,1.00000000000000000000000000000000000000000000,Good,Good,0
loc009f6b1f4b1e,Kincumber,11650,Central Coast (NSW),1.00000000000000000000000000000000000000000000,Good,Good,0
loc00a28a455691,Oakhampton,15050,Maitland,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00a571effff1,Nathalia,24900,Moira,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00a9769647d7,Kew,21110,Boroondara,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00ac0096ae70,Lower Moira,24900,Moira,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00b25cb27734,Yarrawonga,72800,Palmerston,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00b279251235,Cookamidgera,12900,Forbes,0.34000000000000000000000000000000000000000000,Good,Good,0
loc00b279251235,Cookamidgera,16200,Parkes,0.66000000000000000000000000000000000000000000,Good,Good,0
loc00b42c075bd3,Morans Crossing,10550,Bega Valley,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00bdf5b42726,Arthurville,12390,Dubbo,1.00000000000000000000000000000000000000000000,Good,Good,0
loc00be05cedd64,Salem,40220,Alexandrina,1.00000000000000000000000000000000000000000000,Good,Good,0
