MB_CODE_2016,MB_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10000009499,10000009499,1,Good,Good,0
10000010000,10000010000,1,Good,Good,0
10000021000,10000021000,1,Good,Good,0
10000022000,10000022000,1,Good,Good,0
10000023000,10000023000,1,Good,Good,0
10000024000,10000024000,1,Good,Good,0
10000040000,10000040000,1,Good,Good,0
10000050000,10000050000,1,Good,Good,0
10000061000,10000061000,1,Good,Good,0
10000062000,10000062000,1,Good,Good,0
10000063000,10000063000,1,Good,Good,0
10000070000,10000070000,1,Good,Good,0
10000080000,10000080000,1,Good,Good,0
10000090000,10000090000,1,Good,Good,0
10000100000,10000100000,1,Good,Good,0
10000110000,10000110000,1,Good,Good,0
10000120000,10000120000,1,Good,Good,0
10000130000,10000130000,1,Good,Good,0
10000140000,10000140000,1,Good,Good,0
10000151000,10000151000,1,Good,Good,0
10000152000,10000152000,1,Good,Good,0
10000161000,10000161000,1,Good,Good,0
10000162000,10000162000,1,Good,Good,0
10000170000,10000170000,1,Good,Good,0
10000181000,10000181000,1,Good,Good,0
10000183000,10000183000,1,Good,Good,0
10000184000,10000184000,1,Good,Good,0
10000185000,10000185000,1,Good,Good,0
10000186000,10000186000,1,Good,Good,0
10000190000,10000190000,1,Good,Good,0
10000200000,10000200000,1,Good,Good,0
10000210000,10000210000,1,Good,Good,0
10000220000,10000220000,1,Good,Good,0
10000230000,10000230000,1,Good,Good,0
10000240000,10000240000,1,Good,Good,0
10000260000,10000260000,1,Good,Good,0
10000270000,10000270000,1,Good,Good,0
10000280000,10000280000,1,Good,Good,0
10000290000,10000290000,1,Good,Good,0
10000300000,10000300000,1,Good,Good,0
10000310000,10000310000,1,Good,Good,0
10000320000,10000320000,1,Good,Good,0
10000330000,10000330000,1,Good,Good,0
10000341000,10000341000,1,Good,Good,0
10000342000,10000342000,1,Good,Good,0
10000350000,10000350000,1,Good,Good,0
10000370000,10000370000,1,Good,Good,0
10000380000,10000380000,1,Good,Good,0
10000391000,10000391000,1,Good,Good,0
10000392000,10000392000,1,Good,Good,0
10000393000,10000393000,1,Good,Good,0
10000400000,10000400000,1,Good,Good,0
10000410000,10000410000,1,Good,Good,0
10000420000,10000420000,1,Good,Good,0
10000430000,10000430000,1,Good,Good,0
10000440000,10000440000,1,Good,Good,0
10000450000,10000450000,1,Good,Good,0
10000460000,10000460000,1,Good,Good,0
10000480000,10000480000,1,Good,Good,0
10000490000,10000490000,1,Good,Good,0
10000500000,10000500000,1,Good,Good,0
10000510000,10000510000,1,Good,Good,0
10000541000,10000541000,1,Good,Good,0
10000542000,10000542000,1,Good,Good,0
10000543000,10000543000,1,Good,Good,0
10000560000,10000560000,1,Good,Good,0
10000570000,10000570000,1,Good,Good,0
10000580000,10000580000,1,Good,Good,0
10000590000,10000590000,1,Good,Good,0
10000600000,10000600000,1,Good,Good,0
10000610000,10000610000,1,Good,Good,0
10000620000,10000620000,1,Good,Good,0
10000640000,10000640000,1,Good,Good,0
10000650000,10000650000,1,Good,Good,0
10000660000,10000660000,1,Good,Good,0
10000680000,10000680000,1,Good,Good,0
10000710000,10000710000,1,Good,Good,0
10000720000,10000720000,1,Good,Good,0
10000730000,10000730000,1,Good,Good,0
10000740000,10000740000,1,Good,Good,0
10000750000,10000750000,1,Good,Good,0
10000760000,10000760000,1,Good,Good,0
10000780000,10000780000,1,Good,Good,0
10000800000,10000800000,1,Good,Good,0
10000810000,10000810000,1,Good,Good,0
10000820000,10000820000,1,Good,Good,0
10000850000,10000850000,1,Good,Good,0
10000860000,10000860000,1,Good,Good,0
10000880000,10000880000,1,Good,Good,0
10000891000,10000891000,1,Good,Good,0
10000892000,10000892000,1,Good,Good,0
10000900000,10000900000,1,Good,Good,0
10000910000,10000910000,1,Good,Good,0
10000920000,10000920000,1,Good,Good,0
10000930000,10000930000,1,Good,Good,0
10000940000,10000940000,1,Good,Good,0
10000960000,10000960000,1,Good,Good,0
10000980000,10000980000,1,Good,Good,0
10000990000,10000990000,1,Good,Good,0
10001000000,10001000000,1,Good,Good,0
10001010000,10001010000,1,Good,Good,0
10001020000,10001020000,1,Good,Good,0
10001030000,10001030000,1,Good,Good,0
10001040000,10001040000,1,Good,Good,0
10001050000,10001050000,1,Good,Good,0
10001060000,10001060000,1,Good,Good,0
10001071000,10001071000,1,Good,Good,0
10001072000,10001072000,1,Good,Good,0
10001080000,10001080000,1,Good,Good,0
10001090000,10001090000,1,Good,Good,0
10001100000,10001100000,1,Good,Good,0
10001121000,10001121000,1,Good,Good,0
10001122000,10001122000,1,Good,Good,0
10001131000,10001131000,1,Good,Good,0
10001132000,10001132000,1,Good,Good,0
10001140000,10001140000,1,Good,Good,0
10001150000,10001150000,1,Good,Good,0
10001160000,10001160000,1,Good,Good,0
10001170000,10001170000,1,Good,Good,0
10001180000,10001180000,1,Good,Good,0
10001190000,10001190000,1,Good,Good,0
10001200000,10001200000,1,Good,Good,0
10001210000,10001210000,1,Good,Good,0
10001220000,10001220000,1,Good,Good,0
10001230000,10001230000,1,Good,Good,0
10001240000,10001240000,1,Good,Good,0
10001250000,10001250000,1,Good,Good,0
10001260000,10001260000,1,Good,Good,0
10001270000,10001270000,1,Good,Good,0
10001280000,10001280000,1,Good,Good,0
10001290000,10001290000,1,Good,Good,0
10001300000,10001300000,1,Good,Good,0
10001310000,10001310000,1,Good,Good,0
10001321000,10001321000,1,Good,Good,0
10001322000,10001322000,1,Good,Good,0
10001330000,10001330000,1,Good,Good,0
10001341000,10001341000,1,Good,Good,0
10001342000,10001342000,1,Good,Good,0
10001350000,10001350000,1,Good,Good,0
10001360000,10001360000,1,Good,Good,0
10001371000,10001371000,1,Good,Good,0
10001372000,10001372000,1,Good,Good,0
10001380000,10001380000,1,Good,Good,0
10001390000,10001390000,1,Good,Good,0
10001400000,10001400000,1,Good,Good,0
10001410000,10001410000,1,Good,Good,0
10001420000,10001420000,1,Good,Good,0
10001430000,10001430000,1,Good,Good,0
10001440000,10001440000,1,Good,Good,0
10001450000,10001450000,1,Good,Good,0
10001460000,10001460000,1,Good,Good,0
10001471000,10001471000,1,Good,Good,0
10001472000,10001472000,1,Good,Good,0
10001480000,10001480000,1,Good,Good,0
10001490000,10001490000,1,Good,Good,0
10001500000,10001500000,1,Good,Good,0
10001510000,10001510000,1,Good,Good,0
10001520000,10001520000,1,Good,Good,0
10001530000,10001530000,1,Good,Good,0
10001540000,10001540000,1,Good,Good,0
10001550000,10001550000,1,Good,Good,0
10001560000,10001560000,1,Good,Good,0
10001570000,10001570000,1,Good,Good,0
10001580000,10001580000,1,Good,Good,0
10001590000,10001590000,1,Good,Good,0
10001600000,10001600000,1,Good,Good,0
10001610000,10001610000,1,Good,Good,0
10001620000,10001620000,1,Good,Good,0
10001630000,10001630000,1,Good,Good,0
10001640000,10001640000,1,Good,Good,0
10001650000,10001650000,1,Good,Good,0
10001660000,10001660000,1,Good,Good,0
10001670000,10001670000,1,Good,Good,0
10001680000,10001680000,1,Good,Good,0
10001690000,10001690000,1,Good,Good,0
10001700000,10001700000,1,Good,Good,0
10001710000,10001710000,1,Good,Good,0
10001740000,10001740000,1,Good,Good,0
10001760000,10001760000,1,Good,Good,0
10001770000,10001770000,1,Good,Good,0
10001780000,10001780000,1,Good,Good,0
10001790000,10001790000,1,Good,Good,0
10001800000,10001800000,1,Good,Good,0
10001810000,10001810000,1,Good,Good,0
10001820000,10001820000,1,Good,Good,0
10001850000,10001850000,1,Good,Good,0
10001860000,10001860000,1,Good,Good,0
10001870000,10001870000,1,Good,Good,0
10001880000,10001880000,1,Good,Good,0
10001890000,10001890000,1,Good,Good,0
10001900000,10001900000,1,Good,Good,0
10001910000,10001910000,1,Good,Good,0
10001920000,10001920000,1,Good,Good,0
10001930000,10001930000,1,Good,Good,0
10001950000,10001950000,1,Good,Good,0
10001960000,10001960000,1,Good,Good,0
10001970000,10001970000,1,Good,Good,0
10001980000,10001980000,1,Good,Good,0
10001990000,10001990000,1,Good,Good,0
10002003000,10002003000,1,Good,Good,0
10002004000,10002004000,1,Good,Good,0
10002005000,10002005000,1,Good,Good,0
10002006000,10002006000,1,Good,Good,0
10002007000,10002007000,1,Good,Good,0
10002010000,10002010000,1,Good,Good,0
10002020000,10002020000,1,Good,Good,0
10002031000,10002031000,1,Good,Good,0
10002032000,10002032000,1,Good,Good,0
10002033000,10002033000,1,Good,Good,0
10002040000,10002040000,1,Good,Good,0
10002050000,10002050000,1,Good,Good,0
10002060000,10002060000,1,Good,Good,0
10002070000,10002070000,1,Good,Good,0
10002080000,10002080000,1,Good,Good,0
10002090000,10002090000,1,Good,Good,0
10002100000,10002100000,1,Good,Good,0
10002110000,10002110000,1,Good,Good,0
10002120000,10002120000,1,Good,Good,0
10002141000,10002141000,1,Good,Good,0
10002142000,10002142000,1,Good,Good,0
10002150000,10002150000,1,Good,Good,0
10002160000,10002160000,1,Good,Good,0
10002170000,10002170000,1,Good,Good,0
10002180000,10002180000,1,Good,Good,0
10002190000,10002190000,1,Good,Good,0
10002200000,10002200000,1,Good,Good,0
10002210000,10002210000,1,Good,Good,0
10002220000,10002220000,1,Good,Good,0
10002230000,10002230000,1,Good,Good,0
10002240000,10002240000,1,Good,Good,0
10002250000,10002250000,1,Good,Good,0
10002260000,10002260000,1,Good,Good,0
10002270000,10002270000,1,Good,Good,0
10002280000,10002280000,1,Good,Good,0
10002290000,10002290000,1,Good,Good,0
10002300000,10002300000,1,Good,Good,0
10002310000,10002310000,1,Good,Good,0
10002320000,10002320000,1,Good,Good,0
10002330000,10002330000,1,Good,Good,0
10002340000,10002340000,1,Good,Good,0
10002350000,10002350000,1,Good,Good,0
10002360000,10002360000,1,Good,Good,0
10002370000,10002370000,1,Good,Good,0
10002380000,10002380000,1,Good,Good,0
10002390000,10002390000,1,Good,Good,0
10002400000,10002400000,1,Good,Good,0
10002410000,10002410000,1,Good,Good,0
10002420000,10002420000,1,Good,Good,0
10002430000,10002430000,1,Good,Good,0
10002440000,10002440000,1,Good,Good,0
10002450000,10002450000,1,Good,Good,0
10002460000,10002460000,1,Good,Good,0
10002471000,10002471000,1,Good,Good,0
10002490000,10002490000,1,Good,Good,0
10002500000,10002500000,1,Good,Good,0
10002511000,10002511000,1,Good,Good,0
10002512000,10002512000,1,Good,Good,0
10002520000,10002520000,1,Good,Good,0
10002530000,10002530000,1,Good,Good,0
10002540000,10002540000,1,Good,Good,0
10002551000,10002551000,1,Good,Good,0
10002552000,10002552000,1,Good,Good,0
10002553000,10002553000,1,Good,Good,0
10002570000,11219060000,0.0526318,Poor,Good,0
10002570000,11219070000,0.0526318,Poor,Good,0
10002570000,11250560000,0.8947364,Acceptable,Good,0
10002580000,10002580000,1,Good,Good,0
10002592000,10002592000,1,Good,Good,0
10002600000,10002600000,1,Good,Good,0
10002610000,10002610000,1,Good,Good,0
10002620000,10002620000,1,Good,Good,0
10002630000,10002630000,1,Good,Good,0
10002650000,10002650000,1,Good,Good,0
10002660000,10002660000,1,Good,Good,0
10002670000,10002670000,1,Good,Good,0
10002680000,10002680000,1,Good,Good,0
10002690000,10002690000,1,Good,Good,0
10002700000,10002700000,1,Good,Good,0
10002710000,10002710000,1,Good,Good,0
10002720000,10002720000,1,Good,Good,0
10002730000,10002730000,1,Good,Good,0
10002740000,10002740000,1,Good,Good,0
10002751000,10002751000,1,Good,Good,0
10002752000,10002752000,1,Good,Good,0
10002760000,10002760000,1,Good,Good,0
10002770000,10002770000,1,Good,Good,0
10002780000,10002780000,1,Good,Good,0
10002790000,10002790000,1,Good,Good,0
10002800000,10002800000,1,Good,Good,0
10002810000,10002810000,1,Good,Good,0
10002820000,10002820000,1,Good,Good,0
10002830000,10002830000,1,Good,Good,0
10002840000,10002840000,1,Good,Good,0
10002850000,10002850000,1,Good,Good,0
10002860000,10002860000,1,Good,Good,0
10002870000,10002870000,1,Good,Good,0
10002880000,10002880000,1,Good,Good,0
10002890000,10002890000,1,Good,Good,0
10002900000,10002900000,1,Good,Good,0
10002910000,10002910000,1,Good,Good,0
10002920000,10002920000,1,Good,Good,0
10002930000,10002930000,1,Good,Good,0
10002940000,10002940000,1,Good,Good,0
10002950000,10002950000,1,Good,Good,0
10002960000,10002960000,1,Good,Good,0
10002970000,10002970000,1,Good,Good,0
10002980000,10002980000,1,Good,Good,0
10002990000,10002990000,1,Good,Good,0
10003000000,10003000000,1,Good,Good,0
10003010000,10003010000,1,Good,Good,0
10003020000,10003020000,1,Good,Good,0
10003030000,10003030000,1,Good,Good,0
10003040000,10003040000,1,Good,Good,0
10003050000,10003050000,1,Good,Good,0
10003060000,10003060000,1,Good,Good,0
10003070000,10003070000,1,Good,Good,0
10003080000,10003080000,1,Good,Good,0
