POSTCODE,LGA_CODE_2024,LGA_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
0800,71000,Darwin,0.9600208,Good,Good,0
0800,71150,Darwin Waterfront Precinct,0.0399792,Poor,Good,0
0810,71000,Darwin,1.0000000,Good,Good,0
0812,71000,Darwin,1.0000000,Good,Good,0
0820,71000,Darwin,1.0000000,Good,Good,0
0822,72300,Litchfield,0.1563787,Acceptable,Good,0
0822,72800,Palmerston,0.0000004,Good,Good,1
0822,70540,Belyuen,0.0059664,Poor,Good,1
0822,70700,Coomalie,0.0224274,Poor,Good,0
0822,71300,East Arnhem,0.2832613,Poor,Good,0
0822,73600,Roper Gulf,0.0287098,Poor,Good,0
0822,74050,Tiwi Islands,0.0942576,Poor,Good,0
0822,79399,Unincorporated NT,0.0378867,Poor,Good,0
0822,74550,Victoria Daly,0.0180995,Poor,Good,0
0822,74560,Wagait,0.0167409,Poor,Good,0
0822,74660,West Arnhem,0.2174284,Poor,Good,0
0822,74680,West Daly,0.1188428,Poor,Good,0
0828,72300,Litchfield,0.2944302,Acceptable,Good,0
0828,71000,Darwin,0.4709781,Good,Good,0
0828,72800,Palmerston,0.0266732,Good,Good,0
0828,79399,Unincorporated NT,0.2079184,Poor,Good,0
0829,72300,Litchfield,0.9842540,Acceptable,Good,0
0829,72800,Palmerston,0.0157460,Good,Good,0
0830,72300,Litchfield,0.0000005,Acceptable,Good,1
0830,72800,Palmerston,0.9999995,Good,Good,0
0832,72800,Palmerston,1.0000000,Good,Good,0
0834,72300,Litchfield,1.0000000,Acceptable,Good,0
0835,72300,Litchfield,1.0000000,Acceptable,Good,0
0836,72300,Litchfield,1.0000000,Acceptable,Good,0
0837,72300,Litchfield,1.0000000,Acceptable,Good,0
0838,72300,Litchfield,1.0000000,Acceptable,Good,0
0839,72300,Litchfield,1.0000000,Acceptable,Good,0
0840,79399,Unincorporated NT,1.0000000,Poor,Good,0
0841,72300,Litchfield,1.0000000,Acceptable,Good,0
0845,70700,Coomalie,1.0000000,Poor,Good,0
0846,70700,Coomalie,1.0000000,Poor,Good,0
0847,74550,Victoria Daly,1.0000000,Poor,Good,0
0850,72200,Katherine,0.9975839,Good,Good,0
0850,73600,Roper Gulf,0.0024161,Poor,Good,1
0852,72200,Katherine,0.1218525,Good,Good,0
0852,70420,Barkly,0.0192015,Poor,Good,0
0852,70620,Central Desert,0.0857990,Poor,Good,0
0852,73600,Roper Gulf,0.5201705,Poor,Good,0
0852,74550,Victoria Daly,0.2529766,Poor,Good,0
0853,72200,Katherine,1.0000000,Good,Good,0
0854,73600,Roper Gulf,1.0000000,Poor,Good,0
0860,70420,Barkly,1.0000000,Poor,Good,0
0862,70420,Barkly,0.9707427,Poor,Good,0
0862,73600,Roper Gulf,0.0292573,Poor,Good,0
0870,70200,Alice Springs,1.0000000,Good,Good,0
0872,53220,East Pilbara,0.0187733,Good,Good,0
0872,40250,Anangu Pitjantjatjara Yankunytjatjara,0.1668121,Poor,Good,0
0872,70420,Barkly,0.1370487,Poor,Good,0
0872,70620,Central Desert,0.2090736,Poor,Good,0
0872,72330,MacDonnell,0.3502610,Poor,Good,0
0872,56620,Ngaanyatjarraku,0.0605316,Poor,Good,0
0872,79399,Unincorporated NT,0.0564613,Poor,Good,0
0872,49399,Unincorporated SA,0.0010384,Poor,Good,1
0873,70200,Alice Springs,0.9166424,Good,Good,0
0873,72330,MacDonnell,0.0833576,Poor,Good,0
0874,70200,Alice Springs,1.0000000,Good,Good,0
0875,70200,Alice Springs,1.0000000,Good,Good,0
0880,71300,East Arnhem,0.3433488,Poor,Good,0
0880,79399,Unincorporated NT,0.6566512,Poor,Good,0
0885,79399,Unincorporated NT,1.0000000,Poor,Good,0
0886,74660,West Arnhem,1.0000000,Poor,Good,0
2000,17200,Sydney,1.0000000,Good,Good,0
2007,17200,Sydney,1.0000000,Good,Good,0
2008,17200,Sydney,1.0000000,Good,Good,0
2009,17200,Sydney,1.0000000,Good,Good,0
2010,17200,Sydney,1.0000000,Good,Good,0
2011,17200,Sydney,1.0000000,Good,Good,0
2015,17200,Sydney,1.0000000,Good,Good,0
2016,17200,Sydney,1.0000000,Good,Good,0
2017,17200,Sydney,1.0000000,Good,Good,0
2018,10500,Bayside (NSW),0.4504989,Acceptable,Good,0
2018,17200,Sydney,0.5495011,Good,Good,0
2019,10500,Bayside (NSW),1.0000000,Acceptable,Good,0
