SA2_CODE_2021,SA2_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,113,Eden-Monaro,1,Good,Good,0
101021008,Karabar,113,Eden-Monaro,1,Good,Good,0
101021009,Queanbeyan,113,Eden-Monaro,1,Good,Good,0
101021010,Queanbeyan - East,113,Eden-Monaro,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,113,Eden-Monaro,1,Good,Good,0
101021610,Googong,113,Eden-Monaro,1,Good,Good,0
101021611,Queanbeyan Surrounds,113,Eden-Monaro,1,Good,Good,0
101031013,Bombala,113,Eden-Monaro,1,Good,Good,0
101031014,Cooma,113,Eden-Monaro,1,Good,Good,0
101031015,Cooma Surrounds,113,Eden-Monaro,1,Good,Good,0
101031016,Jindabyne - Berridale,113,Eden-Monaro,1,Good,Good,0
101041017,Batemans Bay,116,Gilmore,1,Good,Good,0
101041018,Batemans Bay - South,116,Gilmore,1,Good,Good,0
101041019,Bega - Tathra,113,Eden-Monaro,1,Good,Good,0
101041020,Bega-Eden Hinterland,113,Eden-Monaro,1,Good,Good,0
101041021,Broulee - Tomakin,116,Gilmore,1,Good,Good,0
101041022,Deua - Wadbilliga,116,Gilmore,0.0004861,Good,Good,1
101041022,Deua - Wadbilliga,113,Eden-Monaro,0.9995139,Good,Good,0
101041023,Eden,113,Eden-Monaro,1,Good,Good,0
101041024,Eurobodalla Hinterland,113,Eden-Monaro,0.349664,Good,Good,0
101041024,Eurobodalla Hinterland,116,Gilmore,0.650336,Good,Good,0
101041025,Merimbula - Tura Beach,113,Eden-Monaro,1,Good,Good,0
101041026,Moruya - Tuross Head,113,Eden-Monaro,0.2757445,Good,Good,0
101041026,Moruya - Tuross Head,116,Gilmore,0.7242555,Good,Good,0
101041027,Narooma - Bermagui,113,Eden-Monaro,1,Good,Good,0
101051539,Goulburn,113,Eden-Monaro,1,Good,Good,0
101051540,Goulburn Surrounds,146,Whitlam,0.0004375,Good,Good,1
101051540,Goulburn Surrounds,138,Riverina,0.4968933,Good,Good,0
101051540,Goulburn Surrounds,113,Eden-Monaro,0.5026692,Good,Good,0
101061541,Yass,138,Riverina,1,Good,Good,0
101061542,Yass Surrounds,138,Riverina,1,Good,Good,0
101061543,Young,138,Riverina,1,Good,Good,0
101061544,Young Surrounds,138,Riverina,1,Good,Good,0
102011028,Avoca Beach - Copacabana,139,Robertson,1,Good,Good,0
102011029,Box Head - MacMasters Beach,139,Robertson,1,Good,Good,0
102011030,Calga - Kulnura,139,Robertson,1,Good,Good,0
102011031,Erina - Green Point,112,Dobell,0.1458982,Good,Good,0
102011031,Erina - Green Point,139,Robertson,0.8541018,Good,Good,0
102011032,Gosford - Springfield,139,Robertson,1,Good,Good,0
102011033,Kariong,139,Robertson,1,Good,Good,0
102011034,Kincumber - Picketts Valley,139,Robertson,1,Good,Good,0
102011035,Narara,139,Robertson,1,Good,Good,0
102011036,Niagara Park - Lisarow,139,Robertson,0.3483536,Good,Good,0
102011036,Niagara Park - Lisarow,112,Dobell,0.6516464,Good,Good,0
102011037,Point Clare - Koolewong,139,Robertson,1,Good,Good,0
102011038,Saratoga - Davistown,139,Robertson,1,Good,Good,0
102011039,Terrigal - North Avoca,139,Robertson,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,139,Robertson,1,Good,Good,0
102011041,Wamberal - Forresters Beach,139,Robertson,0.328988,Good,Good,0
102011041,Wamberal - Forresters Beach,112,Dobell,0.671012,Good,Good,0
102011042,Woy Woy - Blackwall,139,Robertson,1,Good,Good,0
102011043,Wyoming,112,Dobell,1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,112,Dobell,1,Good,Good,0
102021045,Blue Haven - San Remo,140,Shortland,0.4187812,Good,Good,0
102021045,Blue Haven - San Remo,112,Dobell,0.5812188,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,112,Dobell,1.00E-06,Good,Good,1
102021046,Budgewoi - Buff Point - Halekulani,140,Shortland,0.999999,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,112,Dobell,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,112,Dobell,1,Good,Good,0
102021049,Jilliby - Yarramalong,112,Dobell,1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,140,Shortland,1,Good,Good,0
102021051,Ourimbah - Fountaindale,112,Dobell,1,Good,Good,0
102021052,Summerland Point - Gwandalan,140,Shortland,1,Good,Good,0
102021053,The Entrance,112,Dobell,1,Good,Good,0
102021054,Toukley - Norah Head,112,Dobell,1,Good,Good,0
102021055,Tuggerah - Kangy Angy,112,Dobell,1,Good,Good,0
102021056,Warnervale - Wadalba,112,Dobell,1,Good,Good,0
102021057,Wyong,112,Dobell,1,Good,Good,0
103011059,Bathurst - East,107,Calare,1,Good,Good,0
103011060,Bathurst Surrounds,107,Calare,1,Good,Good,0
103011061,Oberon,107,Calare,1,Good,Good,0
103011612,Bathurst - South,107,Calare,1,Good,Good,0
103011613,Bathurst - West,107,Calare,1,Good,Good,0
103021062,Condobolin,133,Parkes,1,Good,Good,0
103021063,Cowra,138,Riverina,1,Good,Good,0
103021064,Cowra Surrounds,107,Calare,0.4004412,Good,Good,0
103021064,Cowra Surrounds,138,Riverina,0.5995588,Good,Good,0
103021065,Forbes,138,Riverina,0.0014007,Good,Good,1
103021065,Forbes,107,Calare,0.0806008,Good,Good,0
103021065,Forbes,133,Parkes,0.9179984,Good,Good,0
103021066,Grenfell,138,Riverina,1,Good,Good,0
103021067,Parkes (NSW),133,Parkes,1,Good,Good,0
103021068,Parkes Surrounds,107,Calare,0.0119751,Good,Good,0
103021068,Parkes Surrounds,133,Parkes,0.9880249,Good,Good,0
103021069,West Wyalong,133,Parkes,1,Good,Good,0
103031070,Lithgow,107,Calare,1,Good,Good,0
103031071,Lithgow Surrounds,107,Calare,1,Good,Good,0
103031072,Mudgee,107,Calare,1,Good,Good,0
103031073,Mudgee Surrounds - East,107,Calare,1,Good,Good,0
103031074,Mudgee Surrounds - West,130,New England,0.0002731,Good,Good,1
103031074,Mudgee Surrounds - West,133,Parkes,0.1187906,Good,Good,0
103031074,Mudgee Surrounds - West,107,Calare,0.8809364,Good,Good,0
103031075,Wollangambe - Wollemi,121,Hunter,0.05,Good,Good,0
103031075,Wollangambe - Wollemi,127,Macquarie,0.05,Good,Good,0
103031075,Wollangambe - Wollemi,107,Calare,0.9,Good,Good,0
103041076,Blayney,138,Riverina,0.0021314,Good,Good,1
103041076,Blayney,107,Calare,0.9978686,Good,Good,0
103041077,Orange,107,Calare,1,Good,Good,0
103041078,Orange - North,107,Calare,1,Good,Good,0
103041079,Orange Surrounds,107,Calare,1,Good,Good,0
104011080,Grafton,132,Page,1,Good,Good,0
104011081,Grafton Surrounds,132,Page,1,Good,Good,0
104011082,Maclean - Yamba - Iluka,132,Page,1,Good,Good,0
104021083,Bellingen,110,Cowper,1,Good,Good,0
104021084,Coffs Harbour - North,110,Cowper,1,Good,Good,0
104021085,Coffs Harbour - South,110,Cowper,1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,110,Cowper,0.2187592,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,132,Page,0.7812408,Good,Good,0
104021087,Dorrigo,132,Page,0.2498435,Good,Good,0
104021087,Dorrigo,110,Cowper,0.7501565,Good,Good,0
104021088,Korora - Emerald Beach,132,Page,1,Good,Good,0
104021089,Sawtell - Boambee,110,Cowper,1,Good,Good,0
104021090,Urunga,110,Cowper,1,Good,Good,0
104021091,Woolgoolga - Arrawarra,132,Page,1,Good,Good,0
105011092,Bourke - Brewarrina,133,Parkes,1,Good,Good,0
105011093,Cobar,133,Parkes,1,Good,Good,0
105011094,Coonamble,133,Parkes,1,Good,Good,0
105011095,Nyngan - Warren,133,Parkes,1,Good,Good,0
105011096,Walgett - Lightning Ridge,133,Parkes,1,Good,Good,0
105021097,Broken Hill,133,Parkes,1,Good,Good,0
105021098,Far West,133,Parkes,1,Good,Good,0
105031099,Coonabarabran,133,Parkes,1,Good,Good,0
105031100,Dubbo - East,133,Parkes,1,Good,Good,0
105031101,Dubbo - South,133,Parkes,1,Good,Good,0
105031102,Dubbo - West,133,Parkes,1,Good,Good,0
105031103,Dubbo Surrounds,107,Calare,0.0639246,Good,Good,0
105031103,Dubbo Surrounds,133,Parkes,0.9360754,Good,Good,0
105031104,Gilgandra,133,Parkes,1,Good,Good,0
105031105,Narromine,133,Parkes,1,Good,Good,0
105031106,Wellington,107,Calare,1,Good,Good,0
106011107,Branxton - Greta - Pokolbin,135,Paterson,0.016034,Good,Good,0
106011107,Branxton - Greta - Pokolbin,121,Hunter,0.983966,Good,Good,0
106011108,Cessnock,121,Hunter,1,Good,Good,0
106011109,Cessnock Surrounds,135,Paterson,0.0483818,Good,Good,0
106011109,Cessnock Surrounds,121,Hunter,0.9516182,Good,Good,0
106011110,Dungog,124,Lyne,1,Good,Good,0
106011111,Kurri Kurri - Abermain,135,Paterson,0.2516559,Good,Good,0
106011111,Kurri Kurri - Abermain,121,Hunter,0.7483441,Good,Good,0
106011112,Singleton,121,Hunter,1,Good,Good,0
106011113,Singleton Surrounds,121,Hunter,1,Good,Good,0
106021114,Maitland,135,Paterson,1,Good,Good,0
106021116,Maitland - North,124,Lyne,1,Good,Good,0
106021614,East Maitland - Metford,135,Paterson,1,Good,Good,0
106021615,Rutherford (North) - Aberglasslyn,124,Lyne,0.029319,Good,Good,0
106021615,Rutherford (North) - Aberglasslyn,135,Paterson,0.970681,Good,Good,0
106021616,Rutherford (South) - Telarah,135,Paterson,1,Good,Good,0
106021617,Tenambit - East Maitland,135,Paterson,1,Good,Good,0
106021618,Thornton - Millers Forest,135,Paterson,1,Good,Good,0
106031119,Anna Bay,135,Paterson,1,Good,Good,0
106031120,Lemon Tree Passage - Tanilba Bay,135,Paterson,1,Good,Good,0
106031121,Nelson Bay Peninsula,135,Paterson,1,Good,Good,0
106031122,Raymond Terrace,135,Paterson,1,Good,Good,0
106031123,Seaham - Woodville,124,Lyne,1,Good,Good,0
106031124,Tea Gardens - Hawks Nest,124,Lyne,1,Good,Good,0
106031125,Williamtown - Medowie - Karuah,124,Lyne,0.1189288,Good,Good,0
106031125,Williamtown - Medowie - Karuah,135,Paterson,0.8810712,Good,Good,0
106041126,Muswellbrook,130,New England,1,Good,Good,0
106041127,Muswellbrook Surrounds,130,New England,1,Good,Good,0
106041128,Scone,130,New England,1,Good,Good,0
106041129,Scone Surrounds,130,New England,1,Good,Good,0
107011131,Dapto - Avondale,146,Whitlam,1,Good,Good,0
107011132,Horsley - Kembla Grange,146,Whitlam,1,Good,Good,0
107011133,Port Kembla Industrial,111,Cunningham,1,Good,Good,0
107011134,Unanderra - Mount Kembla,111,Cunningham,1,Good,Good,0
107011545,Berkeley - Lake Heights - Cringila,146,Whitlam,0.009958,Good,Good,1
