SA2_CODE_2021,SA2_NAME_2021,SED_CODE_2024,SED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,10031,Goulburn,0.0704371,Good,Acceptable,0
101021007,Braidwood,10053,Monaro,0.9295629,Good,Acceptable,0
101021008,Karabar,10053,Monaro,1,Good,Acceptable,0
101021009,Queanbeyan,10053,Monaro,1,Good,Acceptable,0
101021010,Queanbeyan - East,10053,Monaro,1,Good,Acceptable,0
101021012,Queanbeyan West - Jerrabomberra,10053,Monaro,1,Good,Acceptable,0
101021610,Googong,10053,Monaro,1,Good,Acceptable,0
101021611,Queanbeyan Surrounds,10031,Goulburn,0.022922,Good,Acceptable,0
101021611,Queanbeyan Surrounds,10053,Monaro,0.977078,Good,Acceptable,0
101031013,Bombala,10009,Bega,4.10E-06,Good,Acceptable,1
101031013,Bombala,10053,Monaro,0.9999959,Good,Acceptable,0
101031014,Cooma,10053,Monaro,1,Good,Acceptable,0
101031015,Cooma Surrounds,10053,Monaro,1,Good,Acceptable,0
101031016,Jindabyne - Berridale,10053,Monaro,1,Good,Acceptable,0
101041017,Batemans Bay,10009,Bega,1,Good,Acceptable,0
101041018,Batemans Bay - South,10009,Bega,1,Good,Acceptable,0
101041019,Bega - Tathra,10009,Bega,1,Good,Acceptable,0
101041020,Bega-Eden Hinterland,10009,Bega,1,Good,Acceptable,0
101041021,Broulee - Tomakin,10009,Bega,1,Good,Acceptable,0
101041022,Deua - Wadbilliga,10009,Bega,1,Good,Acceptable,0
101041023,Eden,10009,Bega,1,Good,Acceptable,0
101041024,Eurobodalla Hinterland,10074,South Coast,0.0565403,Good,Acceptable,0
101041024,Eurobodalla Hinterland,10009,Bega,0.9434597,Good,Acceptable,0
101041025,Merimbula - Tura Beach,10009,Bega,1,Good,Acceptable,0
101041026,Moruya - Tuross Head,10009,Bega,1,Good,Acceptable,0
101041027,Narooma - Bermagui,10009,Bega,1,Good,Acceptable,0
101051539,Goulburn,10031,Goulburn,1,Good,Acceptable,0
101051540,Goulburn Surrounds,10053,Monaro,0.0107603,Good,Acceptable,0
101051540,Goulburn Surrounds,10031,Goulburn,0.9892397,Good,Acceptable,0
101061541,Yass,10031,Goulburn,1,Good,Acceptable,0
101061542,Yass Surrounds,10022,Cootamundra,0.0447121,Good,Acceptable,0
101061542,Yass Surrounds,10031,Goulburn,0.9552879,Good,Acceptable,0
101061543,Young,10022,Cootamundra,1,Good,Acceptable,0
101061544,Young Surrounds,10022,Cootamundra,1,Good,Acceptable,0
102011028,Avoca Beach - Copacabana,10080,Terrigal,1,Good,Acceptable,0
102011029,Box Head - MacMasters Beach,10080,Terrigal,1,Good,Acceptable,0
102011030,Calga - Kulnura,10030,Gosford,1,Good,Acceptable,0
102011031,Erina - Green Point,10080,Terrigal,1,Good,Acceptable,0
102011032,Gosford - Springfield,10080,Terrigal,0.2032546,Good,Acceptable,0
102011032,Gosford - Springfield,10030,Gosford,0.7967454,Good,Acceptable,0
102011033,Kariong,10030,Gosford,1,Good,Acceptable,0
102011034,Kincumber - Picketts Valley,10080,Terrigal,1,Good,Acceptable,0
102011035,Narara,10081,The Entrance,0.2714442,Good,Acceptable,0
102011035,Narara,10030,Gosford,0.7285558,Good,Acceptable,0
