SAL_CODE_2021,SAL_NAME_2021,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Aarons Pass,15270,Mid-Western Regional,1,Good,Good,0
10002,Abbotsbury,12850,Fairfield,1,Good,Good,0
10003,Abbotsford (NSW),11520,Canada Bay,1,Good,Good,0
10004,Abercrombie,10470,Bathurst Regional,1,Good,Good,0
10005,Abercrombie River,10470,Bathurst Regional,1,Good,Good,0
10006,Aberdare,11720,Cessnock,1,Good,Good,0
10007,Aberdeen (NSW),15650,Muswellbrook,0.0125447,Good,Good,0
10007,Aberdeen (NSW),17620,Upper Hunter Shire,0.9874553,Good,Good,0
10008,Aberfoyle,10180,Armidale Regional,1,Good,Good,0
10009,Aberglasslyn,15050,Maitland,1,Good,Good,0
10010,Abermain,11720,Cessnock,1,Good,Good,0
10011,Abernethy,11720,Cessnock,1,Good,Good,0
10012,Abington (NSW),17650,Uralla,1,Good,Good,0
10013,Acacia Creek,17400,Tenterfield,1,Good,Good,0
10014,Acacia Gardens,10750,Blacktown,1,Good,Good,0
10015,Adaminaby,17040,Snowy Monaro Regional,1,Good,Good,0
10016,Adamstown,15900,Newcastle,1,Good,Good,0
10017,Adamstown Heights,14650,Lake Macquarie,0.1594864,Good,Good,0
10017,Adamstown Heights,15900,Newcastle,0.8405136,Good,Good,0
10018,Adelong,17080,Snowy Valleys,1,Good,Good,0
10019,Adjungbilly,12160,Cootamundra-Gundagai Regional,1,Good,Good,0
10020,Afterlee,14550,Kyogle,1,Good,Good,0
10021,Agnes Banks,13800,Hawkesbury,0.5095944,Good,Good,0
10021,Agnes Banks,16350,Penrith,0.4904056,Good,Good,0
10022,Airds,11500,Campbelltown (NSW),1,Good,Good,0
10023,Akolele,12750,Eurobodalla,1,Good,Good,0
10024,Albert,14600,Lachlan,1,Good,Good,0
10025,Albion Park,16900,Shellharbour,1,Good,Good,0
10026,Albion Park Rail,16900,Shellharbour,1,Good,Good,0
10027,Albury,10050,Albury,1,Good,Good,0
10028,Aldavilla,14350,Kempsey,1,Good,Good,0
10029,Alectown,16200,Parkes,1,Good,Good,0
10030,Alexandria,17200,Sydney,1,Good,Good,0
10031,Alfords Point,17150,Sutherland Shire,1,Good,Good,0
10032,Alfredtown,17750,Wagga Wagga,1,Good,Good,0
10033,Alice,11730,Clarence Valley,1,Good,Good,0
10034,Alison (Central Coast - NSW),11650,Central Coast (NSW),1,Good,Good,0
10035,Alison (Dungog - NSW),12700,Dungog,1,Good,Good,0
10036,Allambie Heights,15990,Northern Beaches,1,Good,Good,0
10037,Allandale (NSW),11720,Cessnock,0.5753218,Good,Good,0
10037,Allandale (NSW),15050,Maitland,0.4246782,Good,Good,0
10038,Allawah,12930,Georges River,1,Acceptable,Good,0
10039,Alleena,10800,Bland,1,Good,Good,0
10040,Allgomera,15700,Nambucca Valley,1,Good,Good,0
10041,Allworth,15240,Mid-Coast,1,Good,Good,0
10042,Allynbrook,12700,Dungog,1,Good,Good,0
10043,Alma Park,13340,Greater Hume Shire,0.859523,Good,Good,0
10043,Alma Park,14950,Lockhart,0.140477,Good,Good,0
10044,Alpine,18350,Wingecarribee,1,Good,Good,0
10045,Alstonvale,10250,Ballina,1,Good,Good,0
10046,Alstonville,10250,Ballina,1,Good,Good,0
10047,Alumy Creek,11730,Clarence Valley,1,Good,Good,0
10048,Amaroo (NSW),11400,Cabonne,1,Good,Good,0
10049,Ambarvale,11500,Campbelltown (NSW),1,Good,Good,0
10050,Amosfield,17400,Tenterfield,1,Good,Good,0
10051,Anabranch North,18200,Wentworth,1,Good,Good,0
10052,Anabranch South,18200,Wentworth,1,Good,Good,0
10053,Anambah,15050,Maitland,1,Good,Good,0
10054,Ando,17040,Snowy Monaro Regional,1,Good,Good,0
10055,Anembo,17040,Snowy Monaro Regional,1,Good,Good,0
10056,Angledale,10550,Bega Valley,1,Good,Good,0
10057,Angledool,11200,Brewarrina,0.6855023,Good,Good,0
10057,Angledool,17900,Walgett,0.3144977,Good,Good,0
10058,Anglers Reach,17040,Snowy Monaro Regional,1,Good,Good,0
10059,Angourie,11730,Clarence Valley,1,Good,Good,0
10060,Angus,10750,Blacktown,1,Good,Good,0
10061,Anna Bay,16400,Port Stephens,1,Good,Good,0
10062,Annandale (NSW),14170,Inner West,0.9975686,Good,Good,0
10062,Annandale (NSW),17200,Sydney,0.0024314,Good,Good,1
10063,Annangrove,17420,The Hills Shire,1,Good,Good,0
10064,Appin (NSW),18400,Wollondilly,1,Good,Good,0
10065,Apple Tree Flat,15270,Mid-Western Regional,1,Good,Good,0
10066,Appleby,17310,Tamworth Regional,1,Good,Good,0
10067,Appletree Flat,17000,Singleton,1,Good,Good,0
10068,Apsley (NSW),12390,Dubbo Regional,1,Good,Good,0
10069,Arable,17040,Snowy Monaro Regional,1,Good,Good,0
10070,Arakoon,14350,Kempsey,1,Good,Good,0
10071,Araluen (NSW),16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10072,Aratula (NSW),15520,Murray River,1,Good,Good,0
10073,Arcadia (NSW),14000,Hornsby,1,Acceptable,Good,0
10074,Arcadia Vale,14650,Lake Macquarie,1,Good,Good,0
10075,Ardglen,14920,Liverpool Plains,1,Good,Good,0
10076,Arding,17650,Uralla,1,Good,Good,0
10077,Ardlethan,10800,Bland,0.072334,Good,Good,0
10077,Ardlethan,12000,Coolamon,0.9042282,Good,Good,0
10077,Ardlethan,15800,Narrandera,0.0234378,Good,Good,0
10078,Argalong,17080,Snowy Valleys,1,Good,Good,0
10079,Argenton,14650,Lake Macquarie,1,Good,Good,0
10080,Argents Hill,15700,Nambucca Valley,1,Good,Good,0
10081,Argoon,15560,Murrumbidgee,1,Good,Good,0
10082,Ariah Park,10800,Bland,0.0947247,Good,Good,0
10082,Ariah Park,17350,Temora,0.9052753,Good,Good,0
10083,Arkell,10470,Bathurst Regional,1,Good,Good,0
10084,Arkstone,16100,Oberon,1,Good,Good,0
10085,Armatree,12950,Gilgandra,1,Good,Good,0
10086,Armidale,10180,Armidale Regional,1,Good,Good,0
10087,Arncliffe,10500,Bayside (NSW),1,Good,Good,0
10088,Arndell Park,10750,Blacktown,1,Good,Good,0
10089,Arrawarra,11800,Coffs Harbour,1,Good,Good,0
10090,Arrawarra Headland,11800,Coffs Harbour,1,Good,Good,0
10091,Artarmon,18250,Willoughby,1,Good,Good,0
10092,Arthurville,12390,Dubbo Regional,1,Good,Good,0
10093,Arumpo,10300,Balranald,0.4872123,Good,Good,0
10093,Arumpo,18200,Wentworth,0.5127877,Good,Good,0
10094,Ashbury,11570,Canterbury-Bankstown,0.9615563,Good,Good,0
10094,Ashbury,14170,Inner West,0.0384437,Good,Good,0
10095,Ashby (NSW),11730,Clarence Valley,1,Good,Good,0
10096,Ashby Heights,11730,Clarence Valley,1,Good,Good,0
